created_time,first_funded_time,last_trade_time,owner,polymarket_wallet,wallet,wallet_type
2025-12-10 15:15:56+00:00,2025-12-10 15:16:46+00:00,2026-04-24 20:01:04+00:00,0xa3c274d558658538f76661e403ad71aaf342f493,0x72e4daa9b93fd3786f231c3b73c1bdbc4c48740a,0x72e4daa9b93fd3786f231c3b73c1bdbc4c48740a,safe
2026-04-07 13:54:47+00:00,2026-04-07 13:59:17+00:00,2026-04-07 23:13:43+00:00,0x7b6b6b07b04f5e49e127552056b795c3db7ef286,0x68558d37cafd9e6612ab32863f55ccdd798f655a,0x68558d37cafd9e6612ab32863f55ccdd798f655a,safe
