wallet,role,token_outcome_norm,notional_usd,trade_count
0x14a35308f2d4161edb602211aaaea9f221dcd24f,maker,YES,867.09045,1
0x14a35308f2d4161edb602211aaaea9f221dcd24f,taker,NO,996.0,1
0x14f742820b9c71f4221ee948ed4aba20cd7e232c,taker,NO,1510.248985,1
0x150657df3cc85b57834e2fb697dd63c095ceca77,maker,YES,1310.719998,2
0x150657df3cc85b57834e2fb697dd63c095ceca77,taker,YES,555.353929,1
0x1615086ace48440b0bc0da28a9dfc3d6e8208f2b,maker,NO,649.112,1
0x162b966eaafcd3814b3037532c59c8e2005de154,maker,NO,615.72023,1
0x167a807987c8da3aea97bc36cb394fc04d3c91d5,maker,NO,2227.10926,3
0x167a807987c8da3aea97bc36cb394fc04d3c91d5,taker,NO,658.44,1
0x17a52d6d743362fe8cffd4a3c5e9290582c515c9,maker,YES,794.649999,1
0x17a52d6d743362fe8cffd4a3c5e9290582c515c9,taker,YES,785.679999,1
0x17a7815d67018398af0c7d8e255c129790fb62dd,taker,NO,2999.20515,4
0x17ed7dbfdcfe228016ac50571182f974d59ac087,maker,NO,2790.0,1
0x184f78bcc7fe1a877f6a3b3c98bc21ea184e3728,maker,NO,2665.2789629999997,4
0x184f78bcc7fe1a877f6a3b3c98bc21ea184e3728,maker,YES,684.939999,1
0x184f78bcc7fe1a877f6a3b3c98bc21ea184e3728,taker,NO,719.24424,1
0x198a843b90e1a52d573c6021e2bd6c5d1a093ca3,maker,NO,1900.0,2
0x1b088d915e61a2d2f45ab53712a5b3693da3170f,maker,NO,525.439996,1
0x1b5e20a28d7115f10ce6190a5ae9a91169be83f8,taker,NO,2172.47393,1
0x1b7f34b58a1d90a4f3ccf1c99120ac5258010380,maker,NO,1282.70637,1
0x1c44d3a8a5ee0ea50c8c5ea2813805d230b1f9c3,taker,NO,2089.738636,1
0x1c72797cd4b9b83f42e287144e334c4de347dfb6,maker,NO,8116.618064,6
0x1d16b887703318582321c3c96687f565919ee798,maker,YES,51191.2011,3
0x1d16b887703318582321c3c96687f565919ee798,taker,NO,13699.689769999999,4
0x1d16b887703318582321c3c96687f565919ee798,taker,YES,33115.78543,15
0x1dd197fa8bb4d6887ffecf89b75171aea7d7a156,maker,NO,12300.18565,19
0x1dd197fa8bb4d6887ffecf89b75171aea7d7a156,maker,YES,680.2,1
0x1e0e8f5f626370cbc37e4b09a65e5452d9805001,maker,NO,21939.425638,9
0x1e0e8f5f626370cbc37e4b09a65e5452d9805001,taker,NO,13578.15196,3
0x1e0e8f5f626370cbc37e4b09a65e5452d9805001,taker,YES,921.147721,1
0x1ec6d95503c81c1f5dc83d006ba81dc1e22b7edb,maker,NO,710.25,1
0x1ee3714df6738d885342742c069c22a16d7a0924,taker,NO,752.36374,1
0x1ee9a5fc09665909c0cce297c581703bfbb9197f,maker,NO,2846.4,2
0x1ef32a87051e18a9c0afceaa143e688481c75b9e,maker,YES,2894.70854,1
0x1ef32a87051e18a9c0afceaa143e688481c75b9e,taker,NO,2457.199,2
0x1ef32a87051e18a9c0afceaa143e688481c75b9e,taker,YES,690.0,1
0x1f0f115d8021eb7abf23243bd0e6fdabbc456e2e,maker,NO,10619.237378,12
0x1fa1be3eab546e06e4290839bf4c1d7abfbf1fa9,taker,NO,5514.24665,1
0x200544427dfc822652cb55ca5ca9f99476a9e414,maker,NO,20108.87331,8
0x204b4cdc0bc88253c67abc858514ad2864666a5c,maker,YES,3092.30631,3
0x20c7ef8f47a217652586c9277921842ec35df8db,maker,YES,795.11915,1
