event_market_name,question,token_outcome,token_outcome_name,trade_count,total_notional_usd,first_trade_time,last_trade_time
single market,US x Iran ceasefire by April 7?,Yes,Yes-US x Iran ceasefire by April 7?,277,240297.547105,2026-04-07 13:59:47+00:00,2026-04-07 23:13:43+00:00
single market,US x Iran ceasefire by April 7?,No,No-US x Iran ceasefire by April 7?,26,14236.87455,2026-04-07 13:59:47+00:00,2026-04-07 14:44:51+00:00
